Method,1-day 99% VaR,1-day 99% ES
VCV uncond,0.08654953229551852,0.09915672836909735
VCV cond,0.057014140989922774,0.06531907846748604
HS uncond,0.1022539261868461,0.132942871483551
HS cond,0.06735934452521437,0.08757555838069882
MC (GBM),0.055250768714641296,0.06323521282239664
POT (GPD),0.09546996954330321,0.11602892595374144
