TSLA
date,tsla
03/08/2020,99.00
04/08/2020,99.13
05/08/2020,99.00
06/08/2020,99.31
07/08/2020,96.85
10/08/2020,94.57
11/08/2020,91.63
12/08/2020,103.65
13/08/2020,108.07
14/08/2020,110.05
17/08/2020,122.38
18/08/2020,125.81
19/08/2020,125.24
20/08/2020,133.46
21/08/2020,136.67
24/08/2020,134.28
25/08/2020,134.89
26/08/2020,143.54
27/08/2020,149.25
28/08/2020,147.56
31/08/2020,166.11
01/09/2020,158.35
02/09/2020,149.12
03/09/2020,135.67
04/09/2020,139.44
08/09/2020,110.07
09/09/2020,122.09
10/09/2020,123.78
11/09/2020,124.24
14/09/2020,139.87
15/09/2020,149.92
16/09/2020,147.25
17/09/2020,141.14
18/09/2020,147.38
21/09/2020,149.80
22/09/2020,141.41
23/09/2020,126.79
24/09/2020,129.26
25/09/2020,135.78
28/09/2020,140.40
29/09/2020,139.69
30/09/2020,143.00
01/10/2020,149.39
02/10/2020,138.36
05/10/2020,141.89
06/10/2020,137.99
07/10/2020,141.77
08/10/2020,141.97
09/10/2020,144.67
12/10/2020,147.43
13/10/2020,148.88
14/10/2020,153.77
15/10/2020,149.63
16/10/2020,146.56
19/10/2020,143.61
20/10/2020,140.65
21/10/2020,140.88
22/10/2020,141.93
23/10/2020,140.21
26/10/2020,140.09
27/10/2020,141.56
28/10/2020,135.34
29/10/2020,136.94
30/10/2020,129.35
02/11/2020,133.50
03/11/2020,141.30
04/11/2020,140.33
05/11/2020,146.03
06/11/2020,143.32
09/11/2020,140.42
10/11/2020,136.79
11/11/2020,139.04
12/11/2020,137.25
13/11/2020,136.17
16/11/2020,136.03
17/11/2020,147.20
18/11/2020,162.21
19/11/2020,166.42
20/11/2020,163.20
23/11/2020,173.95
24/11/2020,185.13
25/11/2020,191.33
27/11/2020,195.25
30/11/2020,189.20
01/12/2020,194.92
02/12/2020,189.61
03/12/2020,197.79
04/12/2020,199.68
07/12/2020,213.92
08/12/2020,216.63
09/12/2020,201.49
10/12/2020,209.02
11/12/2020,203.33
14/12/2020,213.28
15/12/2020,211.08
16/12/2020,207.59
17/12/2020,218.63
18/12/2020,231.67
21/12/2020,216.62
22/12/2020,213.45
23/12/2020,215.33
24/12/2020,220.59
28/12/2020,221.23
29/12/2020,222.00
30/12/2020,231.59
31/12/2020,235.22
04/01/2021,243.26
05/01/2021,245.04
06/01/2021,251.99
07/01/2021,272.01
08/01/2021,293.34
11/01/2021,270.40
12/01/2021,283.15
13/01/2021,284.80
14/01/2021,281.67
15/01/2021,275.39
19/01/2021,281.52
20/01/2021,283.48
21/01/2021,281.66
22/01/2021,282.21
25/01/2021,293.60
26/01/2021,294.36
27/01/2021,288.05
28/01/2021,278.48
29/01/2021,264.51
01/02/2021,279.94
02/02/2021,290.93
03/02/2021,284.90
04/02/2021,283.33
05/02/2021,284.08
08/02/2021,287.81
09/02/2021,283.15
10/02/2021,268.27
11/02/2021,270.55
12/02/2021,272.04
16/02/2021,265.41
17/02/2021,266.05
18/02/2021,262.46
19/02/2021,260.43
22/02/2021,238.17
23/02/2021,232.95
24/02/2021,247.34
25/02/2021,227.41
26/02/2021,225.17
01/03/2021,239.48
02/03/2021,228.81
03/03/2021,217.73
04/03/2021,207.15
05/03/2021,199.32
08/03/2021,187.67
09/03/2021,224.53
10/03/2021,222.69
11/03/2021,233.20
12/03/2021,231.24
15/03/2021,235.98
16/03/2021,225.63
17/03/2021,233.94
18/03/2021,217.72
19/03/2021,218.29
22/03/2021,223.33
23/03/2021,220.72
24/03/2021,210.09
25/03/2021,213.46
