method,VaR_99_1d,ES_99_1d
VCV uncond,0.0931661493522433,0.106737151773072
VCV cond,0.0803029461372445,0.0920002362367624
HS uncond,0.116811546698353,0.146202783614094
HS cond,0.100683686166538,0.126016952930932
MC (GBM),0.0777376295133351,0.0886895544704782
POT (GPD),0.0998274383659824,0.12749013038136
